"level";"id";"parent_id";"object_id";"object_type";"object_key";"query_status";"query_time";"query_type";"id";"created_at";"user.screen_name";"text";"favorite_count";"retweet_count";"entities.hashtags.*.text";"entities.user_mentions.*.name";"entities.urls.*.display_url";"lang"
"0";"1";"None";"publi";"seed";"";"";"None";"None";"";"";"";"";"";"";"";"";"";""
"1";"2";"1";"1372754559924195328";"data";"statuses.*";"fetched (200)";"2021-03-19 00:39:35.611398";"Twitter:/search/tweets";"1372754559924195328";"Fri Mar 19 03:39:26 +0000 2021";"perereco";"@fransuel Estava falando sobre a prova do BBB  Meu uno eu só levo na Mecânica Elo Forte!  Mecânica Elo Forte - A mais perto de casa™  #publi";"0";"0";"publi";"Mundinho Gil do Vigor BR";"";"pt"
"1";"3";"1";"1372743652531961856";"data";"statuses.*";"fetched (200)";"2021-03-19 00:39:35.611398";"Twitter:/search/tweets";"1372743652531961856";"Fri Mar 19 02:56:05 +0000 2021";"andreoespirita";"@eduhonorato você pode fazer uma #Publi no meio do recebebados? Pfv. Tem muita gente pedindo (muita gente = eu)";"0";"0";"Publi";"Concierge do porão...";"";"pt"
"1";"4";"1";"1372739134004068352";"data";"statuses.*";"fetched (200)";"2021-03-19 00:39:35.611398";"Twitter:/search/tweets";"1372739134004068352";"Fri Mar 19 02:38:08 +0000 2021";"dsmariavictoria";"Fiat toro é o carro mais lindo do brasil #publi";"0";"0";"publi";"";"";"pt"
"1";"5";"1";"1372738885642506240";"data";"statuses.*";"fetched (200)";"2021-03-19 00:39:35.611398";"Twitter:/search/tweets";"1372738885642506240";"Fri Mar 19 02:37:09 +0000 2021";"Wickty";"Por isso que eu só compro Ford #ad #publi";"0";"0";"ad;publi";"";"";"pt"
"1";"6";"1";"1372736107792711683";"data";"statuses.*";"fetched (200)";"2021-03-19 00:39:35.611398";"Twitter:/search/tweets";"1372736107792711683";"Fri Mar 19 02:26:06 +0000 2021";"brubsoy";"Tiago é muito bom explicando provas ne? que didática excelente #publi";"0";"0";"publi";"";"";"pt"
"1";"7";"1";"1372729209664180231";"data";"statuses.*";"fetched (200)";"2021-03-19 00:39:35.611398";"Twitter:/search/tweets";"1372729209664180231";"Fri Mar 19 01:58:42 +0000 2021";"UDaniloTeixeir4";"Desculpa interromper vc's mais... Sabe aquela pessoa que vc ficava conversando até tarde???  Entt...  Oque vc's são… https://t.co/LvK60BijQG";"0";"0";"";"";"twitter.com/i/web/status/1…";"pt"
"1";"8";"1";"1372726213815451649";"data";"statuses.*";"fetched (200)";"2021-03-19 00:39:35.611398";"Twitter:/search/tweets";"1372726213815451649";"Fri Mar 19 01:46:48 +0000 2021";"bbb";"E vamos de mais cliques! 🤩 #AmstelNoBBB #BebaComModeração #Publi #RedeBBB #BBB21 @AmstelBrasil https://t.co/4cWmJG7OTE";"400";"18";"AmstelNoBBB;BebaComModeração;Publi;RedeBBB;BBB21";"#AmstelNoBBB #BBB21";"";"pt"
"1";"9";"1";"1372725567993352193";"data";"statuses.*";"fetched (200)";"2021-03-19 00:39:35.611398";"Twitter:/search/tweets";"1372725567993352193";"Fri Mar 19 01:44:14 +0000 2021";"UDaniloTeixeir4";"Boa noite  Brasil  Parece que voltei pra março de 2020: Preso em casa, sem dinheiro ( desde smp ) engordando durant… https://t.co/ezCIAA9QzV";"1";"1";"";"";"twitter.com/i/web/status/1…";"pt"
"1";"10";"1";"1372721221868077058";"data";"statuses.*";"fetched (200)";"2021-03-19 00:39:35.611398";"Twitter:/search/tweets";"1372721221868077058";"Fri Mar 19 01:26:57 +0000 2021";"rodrigol_fc";"@LeoBold_ Caraio, pedia fácil!! Quando quiser manda mensagem que eu faço a #publi em live 😂";"7";"1";"publi";"Bold ;)";"";"pt"
"1";"11";"1";"1372716399660007425";"data";"statuses.*";"fetched (200)";"2021-03-19 00:39:35.611398";"Twitter:/search/tweets";"1372716399660007425";"Fri Mar 19 01:07:48 +0000 2021";"Ketley";"#amordemae tá quase um instagram de influencer safada.... tá faltando o #publi #ad #gifted";"0";"0";"amordemae;publi;ad;gifted";"";"";"pt"
"1";"12";"1";"1372716287890182144";"data";"statuses.*";"fetched (200)";"2021-03-19 00:39:35.611398";"Twitter:/search/tweets";"1372716287890182144";"Fri Mar 19 01:07:21 +0000 2021";"liamsugar";"mais uma #publi amor de mãe?";"3";"0";"publi";"";"";"pt"
"1";"13";"1";"1372716239232106499";"data";"statuses.*";"fetched (200)";"2021-03-19 00:39:35.611398";"Twitter:/search/tweets";"1372716239232106499";"Fri Mar 19 01:07:09 +0000 2021";"_ybarros";"Mais uma #publi no meio da novela. Simplesmente Amor de Mãe.";"0";"0";"publi";"";"";"pt"
"1";"14";"1";"1372716221897048072";"data";"statuses.*";"fetched (200)";"2021-03-19 00:39:35.611398";"Twitter:/search/tweets";"1372716221897048072";"Fri Mar 19 01:07:05 +0000 2021";"diovanaxxx";"ba mas oq isso essa novela vao ter q colocar #publi no canto";"0";"0";"publi";"";"";"pt"
"1";"15";"1";"1372712615403732999";"data";"statuses.*";"fetched (200)";"2021-03-19 00:39:35.611398";"Twitter:/search/tweets";"1372712615403732999";"Fri Mar 19 00:52:45 +0000 2021";"_ybarros";"A #publi no meio da novela";"0";"0";"publi";"";"";"pt"
"1";"16";"1";"1372712435140943876";"data";"statuses.*";"fetched (200)";"2021-03-19 00:39:35.611398";"Twitter:/search/tweets";"1372712435140943876";"Fri Mar 19 00:52:02 +0000 2021";"telepedro_";"#publi da nanda costa";"0";"0";"publi";"";"";"pt"
"1";"17";"1";"1372712240332349445";"data";"statuses.*";"fetched (200)";"2021-03-19 00:39:35.611398";"Twitter:/search/tweets";"1372712240332349445";"Fri Mar 19 00:51:16 +0000 2021";"pauloocesarpc";"Hoje é dia de TBT e eu tô só saudade da Fonte Nova e do dia que a @BrahmaCerveja botou cerveja de 1 real na Fonte!… https://t.co/zTqMohSRm5";"28";"2";"";"Brahma (de 🏠)";"twitter.com/i/web/status/1…";"pt"
"1";"18";"1";"1372711977303293957";"data";"statuses.*";"fetched (200)";"2021-03-19 00:39:35.611398";"Twitter:/search/tweets";"1372711977303293957";"Fri Mar 19 00:50:13 +0000 2021";"juliadsobral";"@ccasru @CocaCola_Br kkkkkkkkkkk infelizmente a @CocaCola_Br ainda nao me ofereceu #publi";"1";"0";"publi";"Ruan;Coca-Cola Brasil;Coca-Cola Brasil";"";"pt"
"1";"19";"1";"1372711814035865600";"data";"statuses.*";"fetched (200)";"2021-03-19 00:39:35.611398";"Twitter:/search/tweets";"1372711814035865600";"Fri Mar 19 00:49:34 +0000 2021";"ccasru";"@juliadsobral @CocaCola_Br a não amiga vc ta muito blogueira, vivendo de #publi";"1";"0";"publi";"Ju Sobral;Coca-Cola Brasil";"";"pt"
"1";"20";"1";"1372708677359128578";"data";"statuses.*";"fetched (200)";"2021-03-19 00:39:35.611398";"Twitter:/search/tweets";"1372708677359128578";"Fri Mar 19 00:37:07 +0000 2021";"cariina__";"em toda #publi de blogueira padrão que me aparece no insta eu fico me perguntando como esse mundo deu certo, princi… https://t.co/a0h8kwCUtN";"2";"0";"publi";"";"twitter.com/i/web/status/1…";"pt"
"1";"21";"1";"1372707954865147912";"data";"statuses.*";"fetched (200)";"2021-03-19 00:39:35.611398";"Twitter:/search/tweets";"1372707954865147912";"Fri Mar 19 00:34:14 +0000 2021";"_robertasa";"Que incrível a escolha de Superhomem do Gil pra campanha nova de Johnnie Walker! Sempre cai bem uma dose de bom gos… https://t.co/1Xh5Tb0936";"2";"0";"";"";"twitter.com/i/web/status/1…";"pt"
"1";"22";"1";"1372706811409801218";"data";"statuses.*";"fetched (200)";"2021-03-19 00:39:35.611398";"Twitter:/search/tweets";"1372706811409801218";"Fri Mar 19 00:29:42 +0000 2021";"rntdlsss";"@zenasciment0 vai te dizer inclusive que tá ok comer massa de noite #publi";"0";"0";"publi";"joes";"";"pt"
"1";"23";"1";"1372704890649255938";"data";"statuses.*";"fetched (200)";"2021-03-19 00:39:35.611398";"Twitter:/search/tweets";"1372704890649255938";"Fri Mar 19 00:22:04 +0000 2021";"gustavosemsilva";"Gente pq tem que colocar #publi no Instagram? Não pode fazer sem isso não?";"3";"0";"publi";"";"";"pt"
"1";"24";"1";"1372703188328062976";"data";"statuses.*";"fetched (200)";"2021-03-19 00:39:35.611398";"Twitter:/search/tweets";"1372703188328062976";"Fri Mar 19 00:15:18 +0000 2021";"monteiroamands";"eu espero que vcs entendam que o fluxo de #publi eh pq a gata precisa pagar as contas e comer";"47";"1";"publi";"";"";"pt"
"1";"25";"1";"1372700273387376640";"data";"statuses.*";"fetched (200)";"2021-03-19 00:39:35.611398";"Twitter:/search/tweets";"1372700273387376640";"Fri Mar 19 00:03:43 +0000 2021";"QGemillyA";"#publi: Vão lá enaltecer e engajar o publi internacional de Emilly Araújo para a  @ClubLLondon… https://t.co/vDIoruMube";"65";"14";"publi";"Club L London";"twitter.com/i/web/status/1…";"pt"
"1";"26";"1";"1372699387898499074";"data";"statuses.*";"fetched (200)";"2021-03-19 00:39:35.611398";"Twitter:/search/tweets";"1372699387898499074";"Fri Mar 19 00:00:12 +0000 2021";"Miltonneves";"Tudo tem hora, e a hora é agora...  Aproveite os valores imperdíveis e adquira seu lote no loteamento Jardim Carmen… https://t.co/Ueg4gjzvjd";"16";"1";"";"";"twitter.com/i/web/status/1…";"pt"
"1";"27";"1";"1372698572110639104";"data";"statuses.*";"fetched (200)";"2021-03-19 00:39:35.611398";"Twitter:/search/tweets";"1372698572110639104";"Thu Mar 18 23:56:57 +0000 2021";"fcelanadara";"só faltou o #publi";"0";"0";"publi";"";"";"pt"
"1";"28";"1";"1372697767248855042";"data";"statuses.*";"fetched (200)";"2021-03-19 00:39:35.611398";"Twitter:/search/tweets";"1372697767248855042";"Thu Mar 18 23:53:45 +0000 2021";"ze_lima";"@pangarearisco Não é #Publi HAHAHAHAHA";"1";"0";"Publi";"Pangaré Arisco™";"";"pt"
"1";"29";"1";"1372693044529668104";"data";"statuses.*";"fetched (200)";"2021-03-19 00:39:35.611398";"Twitter:/search/tweets";"1372693044529668104";"Thu Mar 18 23:34:59 +0000 2021";"DescontoGamer";"Últimos dias para participar do sorteio de 5 jogos Xbox One, sendo 1 deles o Assassins Creed Valhala em PT-BR  O so… https://t.co/MORBkf8jev";"17";"2";"";"";"twitter.com/i/web/status/1…";"pt"
"1";"30";"1";"1372692696586977283";"data";"statuses.*";"fetched (200)";"2021-03-19 00:39:35.611398";"Twitter:/search/tweets";"1372692696586977283";"Thu Mar 18 23:33:36 +0000 2021";"ComentaGabis";"Será que as próximas #publi é com farmácia gentil , Drogasil ou pague menos ?   Pq tipo , o Fandom tem que ser medi… https://t.co/4bwpLNImnU";"10";"0";"publi";"";"twitter.com/i/web/status/1…";"pt"
"1";"31";"1";"1372690937881710596";"data";"statuses.*";"fetched (200)";"2021-03-19 00:39:35.611398";"Twitter:/search/tweets";"1372690937881710596";"Thu Mar 18 23:26:37 +0000 2021";"ellituita";"Viih tube melhor jogadora interna, uma maturidade invejável e vai conquistar muitos corações aqui  fora. #publi";"7";"0";"publi";"";"";"pt"
"1";"32";"1";"1372687104845742094";"data";"statuses.*";"fetched (200)";"2021-03-19 00:39:35.611398";"Twitter:/search/tweets";"1372687104845742094";"Thu Mar 18 23:11:23 +0000 2021";"ReginaCase";"Ah como eu adoro essa música! Acredito muito nisso! Tento SEMPRE harmonizar em mim a minha dose masculina e feminin… https://t.co/FgtTZOD30n";"13";"0";"";"";"twitter.com/i/web/status/1…";"pt"
"1";"33";"1";"1372684509146185736";"data";"statuses.*";"fetched (200)";"2021-03-19 00:39:35.611398";"Twitter:/search/tweets";"1372684509146185736";"Thu Mar 18 23:01:04 +0000 2021";"Miltonneves";"Chegou o cartão Higa Atacado com muitas facilidades e vantagens para você! Peça agora mesmo o seu:… https://t.co/KBVqLADIfr";"7";"1";"";"";"twitter.com/i/web/status/1…";"pt"
"1";"34";"1";"1372679918023245841";"data";"statuses.*";"fetched (200)";"2021-03-19 00:39:35.611398";"Twitter:/search/tweets";"1372679918023245841";"Thu Mar 18 22:42:50 +0000 2021";"RafaUrge";"Digitalmente influenciado pela @Koepsel  @VejaLimpeza, contratem ela pra #publi https://t.co/NHlHZUwWot";"2";"1";"publi";"Ah não, Lua.;Veja Brasil";"";"pt"
"1";"35";"1";"1372677755645669395";"data";"statuses.*";"fetched (200)";"2021-03-19 00:39:35.611398";"Twitter:/search/tweets";"1372677755645669395";"Thu Mar 18 22:34:14 +0000 2021";"John_J0nes__";"@monosketaok mono tem q botar #publi";"0";"0";"publi";"mono⁷";"";"pt"
"1";"36";"1";"1372672096011182092";"data";"statuses.*";"fetched (200)";"2021-03-19 00:39:35.611398";"Twitter:/search/tweets";"1372672096011182092";"Thu Mar 18 22:11:45 +0000 2021";"prettysavaj";"Hoje usei uma máscara desse tipo graças ao gentil fornecimento de minha amiga @tmo_maia. Seja amigo de Taísa Maia vc também #publi";"2";"0";"publi";"Taísa Maia";"";"pt"
"1";"37";"1";"1372671788711313418";"data";"statuses.*";"fetched (200)";"2021-03-19 00:39:35.611398";"Twitter:/search/tweets";"1372671788711313418";"Thu Mar 18 22:10:32 +0000 2021";"moduspod";"Gente, agora as 20h a @carolmoreira3 e a @mabebonafe (eu rs) estaremos na Orelo Talks como convidadas no lançamento… https://t.co/2elUv715IH";"170";"4";"";"Carol Moreira;Mabê. 🎙";"twitter.com/i/web/status/1…";"pt"
"1";"38";"1";"1372670869550592001";"data";"statuses.*";"fetched (200)";"2021-03-19 00:39:35.611398";"Twitter:/search/tweets";"1372670869550592001";"Thu Mar 18 22:06:52 +0000 2021";"cindianasouzaa";"Não reclame do que Deus tem tirado da sua vida. Todo mestre de obra tira primeiro o entulho para depois começar a c… https://t.co/F252CnWNWF";"0";"0";"";"";"twitter.com/i/web/status/1…";"pt"
"1";"39";"1";"1372669199605231618";"data";"statuses.*";"fetched (200)";"2021-03-19 00:39:35.611398";"Twitter:/search/tweets";"1372669199605231618";"Thu Mar 18 22:00:14 +0000 2021";"brilhanteleonel";"@felipyago As dicas do post: compre geladeira e fogão, agr uma #publi o quintoandar, fim";"1";"0";"publi";"Renesmil";"";"pt"
"1";"40";"1";"1372668145429839877";"data";"statuses.*";"fetched (200)";"2021-03-19 00:39:35.611398";"Twitter:/search/tweets";"1372668145429839877";"Thu Mar 18 21:56:03 +0000 2021";"WilmaPires4";"@emillyaraujoof  e @yakult trabalhando juntos #publi https://t.co/os2zVjVir3 https://t.co/5Snxpu9cO3";"1";"1";"publi";"Emilly Araújo;Yakult";"twitter.com/QGemillyA/stat…";"pt"
"1";"41";"1";"1372662702045331460";"data";"statuses.*";"fetched (200)";"2021-03-19 00:39:35.611398";"Twitter:/search/tweets";"1372662702045331460";"Thu Mar 18 21:34:25 +0000 2021";"ThaillaAyala";"Que coisa mais lindaaaa, amei, arrasaram muito 👏🏽👏🏽👏🏽Obrigada Johnnie Walker #publi #KeepWalking #HarmonizeSuaDose… https://t.co/QoxhdOcFvo";"4";"0";"publi;KeepWalking;HarmonizeSuaDose";"";"twitter.com/i/web/status/1…";"pt"
"1";"42";"1";"1372662386704969736";"data";"statuses.*";"fetched (200)";"2021-03-19 00:39:35.611398";"Twitter:/search/tweets";"1372662386704969736";"Thu Mar 18 21:33:10 +0000 2021";"Chrisstrack";"Será que a @Lorelay_Fox vai mudar o nome pra Lorelay Star? #Publi";"1";"0";"Publi";"Lorelay Fox";"";"pt"
"1";"43";"1";"1372659636684345346";"data";"statuses.*";"fetched (200)";"2021-03-19 00:39:35.611398";"Twitter:/search/tweets";"1372659636684345346";"Thu Mar 18 21:22:14 +0000 2021";"nathfinancas";"Outra coisa que acaba pesando no nosso orçamento são os armários, tanto de cozinha quanto para guardar roupas.   E… https://t.co/sLbf4euqIV";"694";"8";"";"";"twitter.com/i/web/status/1…";"pt"
"1";"44";"1";"1372659625644920834";"data";"statuses.*";"fetched (200)";"2021-03-19 00:39:35.611398";"Twitter:/search/tweets";"1372659625644920834";"Thu Mar 18 21:22:12 +0000 2021";"nathfinancas";"HORA DA MUDANÇA: O QUE COMPRAR PARA MORAR SOZINHA?  Hoje é o dia pra você saber quanto custa morar sozinha e como e… https://t.co/g1A7WiwocE";"6375";"377";"";"";"twitter.com/i/web/status/1…";"pt"
"1";"45";"1";"1372658237397467137";"data";"statuses.*";"fetched (200)";"2021-03-19 00:39:35.611398";"Twitter:/search/tweets";"1372658237397467137";"Thu Mar 18 21:16:41 +0000 2021";"ciclopin";"muito bom pq so no @quintoandar vc tem:  • um app incrível que vc pode filtrar suas pesquisas e achar um apartament… https://t.co/5Vtrc9SbK4";"261";"7";"";"QuintoAndar";"twitter.com/i/web/status/1…";"pt"
"1";"46";"1";"1372656517695086594";"data";"statuses.*";"fetched (200)";"2021-03-19 00:39:35.611398";"Twitter:/search/tweets";"1372656517695086594";"Thu Mar 18 21:09:51 +0000 2021";"slythgrimes";"mariana e eu hidratando o cabelo juntas hoje só pra ter pelo menos 1% desse brilho   #publi: sim, usamos skala https://t.co/rRQgL8ybOl";"1";"1";"publi";"";"twitter.com/swolobens/stat…";"pt"
"1";"47";"1";"1372656490360795136";"data";"statuses.*";"fetched (200)";"2021-03-19 00:39:35.611398";"Twitter:/search/tweets";"1372656490360795136";"Thu Mar 18 21:09:44 +0000 2021";"1fabiogomes";"A @chicorei mandou varias camisetas brabas de #TheMandalorian ! Uma mais linda que a outra! Qual a sua favorita? Dá… https://t.co/kJ8FaVbU2Y";"53";"1";"TheMandalorian";"Chico Rei";"twitter.com/i/web/status/1…";"pt"
"1";"48";"1";"1372655466405322758";"data";"statuses.*";"fetched (200)";"2021-03-19 00:39:35.611398";"Twitter:/search/tweets";"1372655466405322758";"Thu Mar 18 21:05:40 +0000 2021";"ysynhaaa";"Arrasta y Arrasta.... #publi #lucasviana #pharmatonbr Dica preciosa para manter a energia Bora arrastar muito galer… https://t.co/MMCR8OpGxr";"0";"0";"publi;lucasviana;pharmatonbr";"";"twitter.com/i/web/status/1…";"pt"
"1";"49";"1";"1372653833189462021";"data";"statuses.*";"fetched (200)";"2021-03-19 00:39:35.611398";"Twitter:/search/tweets";"1372653833189462021";"Thu Mar 18 20:59:11 +0000 2021";"raphadiasm";"@andreariell Hugo podia botar #publi pq com certeza ganhou pra fazer esse post";"0";"0";"publi";"André";"";"pt"
"1";"50";"1";"1372652501477027841";"data";"statuses.*";"fetched (200)";"2021-03-19 00:39:35.611398";"Twitter:/search/tweets";"1372652501477027841";"Thu Mar 18 20:53:53 +0000 2021";"Sr___WILL";"✅ Bora comentar a #publi de emoji do Biel 😂🤣.  Partiu 10K de comentários??  https://t.co/vKVZhJFJ8U https://t.co/iq0EvoPpYA";"78";"10";"publi";"";"instagram.com/p/CMkh0qEjY5D/…";"pt"
"1";"51";"1";"1372650616489664517";"data";"statuses.*";"fetched (200)";"2021-03-19 00:39:35.611398";"Twitter:/search/tweets";"1372650616489664517";"Thu Mar 18 20:46:24 +0000 2021";"guivreis_";"@nikolas_dm Ce ta brincando que fez um city tour pelos puteiro de bh kkkkkkkkkk Propaganda gratuita uai, so faltou… https://t.co/QKcZL90LVa";"3";"0";"";"Nikolas Ferreira";"twitter.com/i/web/status/1…";"pt"
"1";"52";"1";"1372648348281372674";"data";"statuses.*";"fetched (200)";"2021-03-19 00:39:35.611398";"Twitter:/search/tweets";"1372648348281372674";"Thu Mar 18 20:37:23 +0000 2021";"moduspod";"Conheça o Intrínsecos, o clube de assinatura da @intrinseca ! Todo mês um livro surpresa, com uma edição especial e… https://t.co/hNVGqnYAf3";"36";"0";"";"Intrínseca";"twitter.com/i/web/status/1…";"pt"
"1";"53";"1";"1372646478360018944";"data";"statuses.*";"fetched (200)";"2021-03-19 00:39:35.611398";"Twitter:/search/tweets";"1372646478360018944";"Thu Mar 18 20:29:57 +0000 2021";"ninarocha";"aproveitando pra fazer o auto #publi: cês já compraram Papéis hoje? https://t.co/CpmxNqYAQu";"0";"0";"publi";"";"nina-rocha.oncartx.io/products/livro…";"pt"
"1";"54";"1";"1372640607575900162";"data";"statuses.*";"fetched (200)";"2021-03-19 00:39:35.611398";"Twitter:/search/tweets";"1372640607575900162";"Thu Mar 18 20:06:37 +0000 2021";"jnflesch";"Está no home office, mas chefe te deixa maluco(a), chamando toda hora no WhatsApp? Com qual música você reage? Eu o… https://t.co/ML48GZFTrk";"27";"1";"";"";"twitter.com/i/web/status/1…";"pt"
"1";"55";"1";"1372639888047230977";"data";"statuses.*";"fetched (200)";"2021-03-19 00:39:35.611398";"Twitter:/search/tweets";"1372639888047230977";"Thu Mar 18 20:03:46 +0000 2021";"soueuadiana";"@robotheus @Sukitabr Oi @/Sukitabr e @/robotheus!! Essa mensagem é muito importante né, por isso venho mostrar os… https://t.co/eUvpjUTxhL";"0";"0";"";"matheus;sukita";"twitter.com/i/web/status/1…";"pt"
"1";"56";"1";"1372636833880891401";"data";"statuses.*";"fetched (200)";"2021-03-19 00:39:35.611398";"Twitter:/search/tweets";"1372636833880891401";"Thu Mar 18 19:51:38 +0000 2021";"bornthiswrong";"quase todos os jogos da square tão com desconto na steam #publi";"0";"0";"publi";"";"";"pt"
"1";"57";"1";"1372633829186342912";"data";"statuses.*";"fetched (200)";"2021-03-19 00:39:35.611398";"Twitter:/search/tweets";"1372633829186342912";"Thu Mar 18 19:39:41 +0000 2021";"isisinhx";"@_sougabii_ https://t.co/GmpWLPcn7A caso oc goste de alguma, to sempre postando la terao roupas vintage tbm #publi";"0";"0";"publi";"emo da isafera 😍 juliette eu te amo";"mayvin.store";"pt"
"1";"58";"1";"1372628275651039241";"data";"statuses.*";"fetched (200)";"2021-03-19 00:39:35.611398";"Twitter:/search/tweets";"1372628275651039241";"Thu Mar 18 19:17:37 +0000 2021";"eocarlosfala";"É muito perigoso uma influencer com 14 milhões de seguidores deslegitimar a sexualidade de um homem bissexual dessa… https://t.co/1l0e50DQkc";"1";"0";"";"";"twitter.com/i/web/status/1…";"pt"
"1";"59";"1";"1372627593741107211";"data";"statuses.*";"fetched (200)";"2021-03-19 00:39:35.611398";"Twitter:/search/tweets";"1372627593741107211";"Thu Mar 18 19:14:55 +0000 2021";"ilovemyanalog";"Não aguento mais essa vida de corona vírus  #Publi";"9";"1";"Publi";"";"";"pt"
"1";"60";"1";"1372625724289454080";"data";"statuses.*";"fetched (200)";"2021-03-19 00:39:35.611398";"Twitter:/search/tweets";"1372625724289454080";"Thu Mar 18 19:07:29 +0000 2021";"himynameislt";"@egonlugo @quintoandar Pode puxar saco do empregador assim é? #publi #ad";"3";"0";"publi;ad";"Meua migo tocansado;QuintoAndar";"";"pt"
"1";"61";"1";"1372621740057169923";"data";"statuses.*";"fetched (200)";"2021-03-19 00:39:35.611398";"Twitter:/search/tweets";"1372621740057169923";"Thu Mar 18 18:51:39 +0000 2021";"Mundo_Freak";"Toda quinta-feira, no @YahooNoticias   Acesse 👽🔎🌑⏳  https://t.co/CDGZlW0LAn #publi";"18";"0";"publi";"Yahoo Noticias";"br.noticias.yahoo.com/teorias-da-con…";"pt"
"1";"62";"1";"1372621736798212102";"data";"statuses.*";"fetched (200)";"2021-03-19 00:39:35.611398";"Twitter:/search/tweets";"1372621736798212102";"Thu Mar 18 18:51:38 +0000 2021";"Mundo_Freak";"Há aqueles que nem vendo acredita, vai saber.  Por isso, o @yahoonoticias convidou nosso investigador, @andreizilla… https://t.co/A2YDzu8lSP";"68";"11";"";"Yahoo Noticias;Andrei Fernandes";"twitter.com/i/web/status/1…";"pt"
"1";"63";"1";"1372619872203595776";"data";"statuses.*";"fetched (200)";"2021-03-19 00:39:35.611398";"Twitter:/search/tweets";"1372619872203595776";"Thu Mar 18 18:44:14 +0000 2021";"braian";"💵 Na praia ou na cidade o PicPay Card faz pagamentos sem contato físico! Só aproximar da maquininha e pronto! Além… https://t.co/B0ouLhewjZ";"6";"0";"";"";"twitter.com/i/web/status/1…";"pt"
"1";"64";"1";"1372619330077261832";"data";"statuses.*";"fetched (200)";"2021-03-19 00:39:35.611398";"Twitter:/search/tweets";"1372619330077261832";"Thu Mar 18 18:42:04 +0000 2021";"Chollomaton";"Aceitera zefal pro wet lube 120 ml #publi ❌ Antes 11.6€ 📉 Oferta 10.11€  https://t.co/Xr0iURzOa0 https://t.co/M3QydeIh2A";"1";"0";"publi";"";"j.mp/3eXbYbM";"pt"
"1";"65";"1";"1372617545266651140";"data";"statuses.*";"fetched (200)";"2021-03-19 00:39:35.611398";"Twitter:/search/tweets";"1372617545266651140";"Thu Mar 18 18:34:59 +0000 2021";"jorgecn";"James tá com várias promoções. E com meu cupom: ATENCAO25 vcs ainda ganham R$ 25,00 reais de desconto na primeira c… https://t.co/nfeksYqbJA";"4";"0";"";"";"twitter.com/i/web/status/1…";"pt"
"1";"66";"1";"1372610105468944397";"data";"statuses.*";"fetched (200)";"2021-03-19 00:39:35.611398";"Twitter:/search/tweets";"1372610105468944397";"Thu Mar 18 18:05:25 +0000 2021";"falsirillo";"esse daqui foi dos grandes gente jesuis vcs tao doidas atras de uma defesa viu vou tentar a noite #publi https://t.co/2FyS7tVREf";"1";"0";"publi";"";"";"pt"
"1";"67";"1";"1372609716128473090";"data";"statuses.*";"fetched (200)";"2021-03-19 00:39:35.611398";"Twitter:/search/tweets";"1372609716128473090";"Thu Mar 18 18:03:52 +0000 2021";"RenatoGarcia";"@philricelle Esqueci de por #ad #publi";"1";"0";"ad;publi";"Felipe Ricelle";"";"pt"
