,username,description,location,following,followers,totaltweets,retweetcount,text,hashtags
0,lucazarotto,"meus amigos, voltei! Marketing | Fatos que observo | assuntos do momento","Caxias do Sul, Brasil",86,10,101,0,Incrível a sacada do social media da @cacaushow + Inovação de produto para atingir novo nicho de clientes - crianças e fãs de cartoon - vídeos no Tik tok!  #marketing #pascoa2021 https://t.co/GE6U3dE5zR,"['marketing', 'pascoa2021']"
1,Gughost7,"As vezes mando uns vídeos no YouTube 
e vez enquando eventos na Twitch 
quando vc usa meu código de apoiador você ajuda no meu trabalho, obg
CODE GUGHOST #ad",,233,663,24290,0,"A picareta Gládio de Potássius é uma boa oportunidade pra quem queria uma picareta com animação de katana
Anteriormente só tinha como adquirir junto com skins como no caso da Michonne e blade como exemplo

Skins e picareta do @felip_louis
@Bulachaaaaaa @web_anao Code GUGHOST #ad https://t.co/4vGeGrNt3N",['ad']
2,viniciushpmuniz,Escritor e Webmaster. Escrevo desde sempre. Meu livro de Drama está pronto e estou desenvolvendo um Suspense. Uma peça de teatro também está em meu portfólio.,São Paulo - Brasil,907,370,10946,36,"""Eu tenho uma segunda chance. Não vou desperdiçá-la""

Liga da Justiça de Zack Snyder já pode ser alugado nas plataformas digitais o/ O filme conta com os dubladores originais e ficará disponível por apenas 3 semanas! 🤩Saiba onde assistir em: https://t.co/VkBPFBGst5 #ad https://t.co/oKoAlQvLD1",[]
3,_robertasa,Cantora brasileira. Brazilian singer. Atualizado pela artista e sua equipe (ERS) https://t.co/GdKVA1YdK8,,179,68868,8267,0,"Que incrível a escolha de Superhomem do Gil pra campanha nova de Johnnie Walker! Sempre cai bem uma dose de bom gosto! Amei. #publi
#KeepWalking #HarmonizeSuaDose
@johnniewalkerbr

Beba com responsabilidade e não compartilhe com menores de 18 anos. https://t.co/m3lmvrbuvg","['publi', 'KeepWalking', 'HarmonizeSuaDose']"
4,Rayanneshippa,Nordestina com muito orgulho 💪,"João Pessoa, Brasil",681,1449,67363,10,#publi: Vão lá enaltecer e engajar o publi internacional de Emilly Araújo para a  @ClubLLondon https://t.co/HuyT2710op https://t.co/7AUUtaQkTT,['publi']
5,adria_cvp,,"Belém, Brasil",497,73,448,270,"HORA DA MUDANÇA: O QUE COMPRAR PARA MORAR SOZINHA?

Hoje é o dia pra você saber quanto custa morar sozinha e como economizar também!

Segue a thread 👇🏼  #publi",[]
6,dear__rosie,"Escritora nas horas vagas, romântica que ama amar ❤️ iludida por natureza","São Paulo, Brasil",282,65,5241,270,"HORA DA MUDANÇA: O QUE COMPRAR PARA MORAR SOZINHA?

Hoje é o dia pra você saber quanto custa morar sozinha e como economizar também!

Segue a thread 👇🏼  #publi",[]
7,Lilianebbw,Fogo nos racistas e tapão na minha raba 🔥,"Rio de Janeiro, Brasil",581,826,14089,270,"HORA DA MUDANÇA: O QUE COMPRAR PARA MORAR SOZINHA?

Hoje é o dia pra você saber quanto custa morar sozinha e como economizar também!

Segue a thread 👇🏼  #publi",[]
8,kkksoufan,desempregada que entrega currículo todos os dias/ sou uber nas horas vagas/ apaixonada por friends,,1003,1009,29556,270,"HORA DA MUDANÇA: O QUE COMPRAR PARA MORAR SOZINHA?

Hoje é o dia pra você saber quanto custa morar sozinha e como economizar também!

Segue a thread 👇🏼  #publi",[]
9,Lucky1v4,"VIDEO EDITOR | Player | Use Code Lucky_ #ad

YT- https://t.co/b0k3ne33dT…",Code Lucky_ #ad,452,23,814,0,Meu code Pfv Code Lucky_ #ad :) https://t.co/e8jND3Au6C,['ad']
10,paytaereally,🌫🌑🧷⌦Min Yoongi⌫💣💀🕸,No seu ♡,396,245,39886,344,"Geeeeeente a @TimBrasil me convidou para dar voz a um manifesto. Vamos falar sobre identidades femininas da atualidade. E não tem melhor momento para falar sobre quão somos orgulhosas de sermos nós mesmas. Vem comigo! 💙
#ImagineAspossibilidades #publi https://t.co/vc5u6yoNGB",[]
11,Mad_uh04,"⚔Warrior & Weirdo⚔
Chorando pelo fim de S.U.










.
⭐Under stars, we are alone⭐",,572,390,13366,270,"HORA DA MUDANÇA: O QUE COMPRAR PARA MORAR SOZINHA?

Hoje é o dia pra você saber quanto custa morar sozinha e como economizar também!

Segue a thread 👇🏼  #publi",[]
12,rntdlsss,às vezes tuito dormindo,"nem aqui, nem lá ",854,947,100823,0,@zenasciment0 vai te dizer inclusive que tá ok comer massa de noite #publi,['publi']
13,tl_sep,scoppia che la vittoria è nostra | Bicampeã da América | #Palmeiras | #AvantiPalestra,"Rio de Janeiro, Brasil",788,671,34263,270,"HORA DA MUDANÇA: O QUE COMPRAR PARA MORAR SOZINHA?

Hoje é o dia pra você saber quanto custa morar sozinha e como economizar também!

Segue a thread 👇🏼  #publi",[]
14,trindade184,"scorpion, 22","Sao Paulo, Brazil",147,23,216,179,"a @TIMBrasil me convidou pra refletir sobre ser mulher. eu sempre penso nessa parte da minha história, que mudou com o apoio de tantas mulheres.  elas que me apoiaram no início e me apoiam até hoje 💙 #ImagineAsPossibilidades #ad https://t.co/tDQDp2lqme",[]
15,davidltavares,"Criador de conteúdo, apresentador e streamer |Host @BancodoBrasil e Streamer @SBT_Games. Ex @brasilgameshow (2018, 19 e 20). CODE dvd-tv no Fortnite #Ad",Brasil,1812,4061,75200,0,Já sabem que é direto com o código DVD-TV! #AD https://t.co/lJaAjPCn89,['AD']
16,DESESPER0,destined for disaster,1.174826β @desespriv,1043,11627,97245,0,meu deus compra a banana gladiadora pica com code desespero #ad ai não vai se arrepender https://t.co/p6MflE3jSn,['ad']
17,AlbuqAlex,,,897,94,1418,4,Eu vendo que o @SubwayBrasil lançou um sub de Frango Assado com molho caipira e com TUDO EM PEDAÇOS: é muuuito bom ser #SubLover! Vamo experimentar? Pede o seu aí pelo delivery https://t.co/0btXM58Jrc 😋😍 #Ad https://t.co/52gmxYfE5I,[]
18,belkillcu,"eu sou filho de pemba, eu não posso cair eu não posso tombar 🕊",RJ,250,189,41024,270,"HORA DA MUDANÇA: O QUE COMPRAR PARA MORAR SOZINHA?

Hoje é o dia pra você saber quanto custa morar sozinha e como economizar também!

Segue a thread 👇🏼  #publi",[]
19,NoticiarioFort,🇧🇷 l code: PEDROGOLDD #ad l Notícias e vazamentos em Português do Fortnite BR & STW.,Lago da Preguiça,19,7,221,0,"🛍 Loja // 18 de Março de 2021

🛒 | Apoie PEDROGOLDD na loja de itens do fortnite #ad https://t.co/ZWQVu6hSVB",['ad']
20,squaxyvlr,@toxFN_,,262,702,919,2,"💙 Usem o meu código ""Slowlyy"" caso queiram me apoiar. #ad https://t.co/DgIWspLeqx",['ad']
